Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM526244,Prostate tumor PCA0159 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526244/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526245,Prostate tumor PCA0160 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526245/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526246,Prostate tumor PCA0161 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526246/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526247,Prostate tumor PCA0162 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526247/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526248,Prostate tumor PCA0163 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526248/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526249,Prostate tumor PCA0164 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526249/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526250,Prostate tumor PCA0165 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526250/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526251,Prostate tumor PCA0167 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526251/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526252,Prostate tumor PCA0168 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526252/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526253,Prostate tumor PCA0169 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526253/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526254,Prostate tumor PCA0170 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526254/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526255,Prostate tumor PCA0171 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526255/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526256,Prostate tumor PCA0172 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526256/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526257,Prostate tumor PCA0173 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526257/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526258,Prostate tumor PCA0174 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526258/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526259,Prostate tumor PCA0175 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526259/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526260,Prostate tumor PCA0176 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526260/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526261,Prostate tumor PCA0178 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526261/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526262,Prostate tumor PCA0179 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526262/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526263,Prostate tumor PCA0180 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526263/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526264,Prostate tumor PCA0181 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526264/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526265,Prostate tumor PCA0182 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526265/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526266,Prostate tumor PCA0184 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526266/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526267,Prostate tumor PCA0187 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526267/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526268,Prostate tumor PCA0188 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526268/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526269,Prostate tumor PCA0189 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526269/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526270,Prostate tumor PCA0190 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526270/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526271,Prostate tumor PCA0193 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526271/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526272,Prostate tumor PCA0194 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526272/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526273,Prostate tumor PCA0199 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526273/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526274,Prostate tumor PCA0200 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526274/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526275,Prostate tumor PCA0201 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526275/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526276,Prostate tumor PCA0206 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526276/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526277,Prostate tumor PCA0207 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526277/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526278,Prostate tumor PCA0208 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526278/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526279,Prostate tumor PCA0209 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526279/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526280,Prostate tumor PCA0210 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526280/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526281,Prostate tumor PCA0211 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526281/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526282,Prostate tumor PCA0213 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526282/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526283,Prostate tumor PCA0215 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526283/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526284,Cell line DU145 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526284/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526285,Cell line LNCaP exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526285/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526286,Xenograft LNCaP104R exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526286/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526287,Xenograft LNCaP104S exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526287/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526288,Cell line PC3 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526288/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526289,Cell line Vcap exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526289/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526290,Prostate normal PAN0095 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526290/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526291,Prostate normal PAN0107 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526291/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526292,Prostate normal PAN0109 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526292/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526293,Prostate normal PAN0110 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526293/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526294,Prostate normal PAN0112 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526294/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526295,Prostate normal PAN0113 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526295/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526296,Prostate normal PAN0114 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526296/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526297,Prostate normal PAN0115 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526297/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526298,Prostate normal PAN0117 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526298/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526299,Prostate normal PAN0120 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526299/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526300,Prostate normal PAN0122 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526300/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526301,Prostate normal PAN0125 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526301/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526302,Prostate normal PAN0127 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526302/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526303,Prostate normal PAN0128 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526303/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526304,Prostate normal PAN0129 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526304/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526305,Prostate normal PAN0134 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526305/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526306,Prostate normal PAN0135 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526306/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526307,Prostate normal PAN0136 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526307/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526308,Prostate normal PAN0144 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526308/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526309,Prostate normal PAN0147 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526309/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526310,Prostate normal PAN0151 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526310/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526311,Prostate normal PAN0157 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526311/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526312,Prostate normal PAN0162 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526312/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526313,Prostate normal PAN0164 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526313/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526314,Prostate normal PAN0167 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526314/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526315,Prostate normal PAN0169 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526315/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526316,Prostate normal PAN0171 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526316/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526317,Prostate normal PAN0172 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526317/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526318,Prostate normal PAN0174 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526318/suppl,,Barry Stephen Taylor,24-Jun-10
